"序号","产品编码","型号","产品ID","产品名称","接头类型","原状态","新状态","详情Slug","数据文件","匹配行号"
"44","139002","F-PE-100-32-PV-N","139002","F-PE-100-32-PV-N","filters","active","inactive","f-pe-100-32-pv-n","data/products/selection/filter-check-valve-selection.generated.ts","159"
"45","139005","F-SS-150-127-AC-N","139005","F-SS-150-127-AC-N","filters","active","inactive","f-ss-150-127-ac-n","data/products/selection/filter-check-valve-selection.generated.ts","447"
"46","139006","F-SS-150-127D-AC-N","139006","F-SS-150-127D-AC-N","filters","active","inactive","f-ss-150-127d-ac-n","data/products/selection/filter-check-valve-selection.generated.ts","519"
"47","139007","F-SS-150-127-PP-N","139007","F-SS-150-127-PP-N","filters","active","inactive","f-ss-150-127-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","591"
"48","139008","F-SS-150-127D-PP-N","139008","F-SS-150-127D-PP-N","filters","active","inactive","f-ss-150-127d-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","663"
"49","139009","139009","139009","139009 水循环过滤器组件","filters","active","inactive","filter-component-139009","data/products/selection/filter-check-valve-selection.generated.ts","954"
"50","139010","139010","139010","139010 水循环过滤器组件","filters","active","inactive","filter-component-139010","data/products/selection/filter-check-valve-selection.generated.ts","1026"
"51","139011","F-SS-150-79D-PP-N","139011","F-SS-150-79D-PP-N","filters","active","inactive","f-ss-150-79d-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","736"
"52","139012","F-PA-150-32-PP-N","139012","F-PA-150-32-PP-N","filters","active","inactive","f-pa-150-32-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","303"
"53","139013","F-SS-150-95D-PP-N","139013","F-SS-150-95D-PP-N","filters","active","inactive","f-ss-150-95d-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","808"
"54","139014","F-PA-250-32D-PA-N","139014","F-PA-250-32D-PA-N","filters","active","inactive","f-pa-250-32d-pa-n","data/products/selection/filter-check-valve-selection.generated.ts","375"
"55","139015","F-SS-150-191-PP-N","139015","F-SS-150-191-PP-N","filters","active","inactive","f-ss-150-191-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","882"
"56","","","809932","LPR-32-PV-N","luer-fittings","active","inactive","lpr-32-pv-n","data/products/selection/luer-fitting-selection.generated.ts","1790"
"57","809004","SB-U28-16-PP-W","809004","SB-U28-16-PP-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","5021"
"58","809011","SB-U28-32-PP-W","809011","SB-U28-32-PP-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","5086"
"59","809018","SB-M6-16-PP-W","809018","SB-M6-16-PP-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","5151"
"60","809025","SB-M6-32-PP-W","809025","SB-M6-32-PP-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","5216"
"61","809034","SA-G1/8-64C-PP-N（带O圈）","809034","SA-G1/8-64C-PP-N（带O圈）","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3201"
"62","809268","SA-U32-24F-PP-N","809268","SA-U32-24F-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","16"
"63","809323","SA-U32-24F-PA-W","809323","SA-U32-24F-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","146"
"64","809339","SA-U32-16F-PA-W","809339","SA-U32-16F-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","211"
"65","809470","SA-1/8NPT-24C-PP-N","809470","SA-1/8NPT-24C-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1186"
"66","809471","SA-1/8NPT-32C-PP-N","809471","SA-1/8NPT-32C-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1251"
"67","809472","SA-1/8NPT-40C-PP-N","809472","SA-1/8NPT-40C-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1316"
"68","809473","SA-1/8NPT-48C-PP-N","809473","SA-1/8NPT-48C-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1381"
"69","809474","SA-1/8NPT-64C-PP-N","809474","SA-1/8NPT-64C-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1446"
"70","809475","SAL-1/8NPT-64D-PP-N","809475","SAL-1/8NPT-64D-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1511"
"71","809476","SA-1/4NPT-32D-PP-N","809476","SA-1/4NPT-32D-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1576"
"72","809477","SA-1/4NPT-64D-PP-N","809477","SA-1/4NPT-64D-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1641"
"73","809478","SA-1/4NPT-95D-PP-N","809478","SA-1/4NPT-95D-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","1706"
"74","809490","SA-G1/8-40C-PV-N","809490","SA-G1/8-40C-PV-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3071"
"75","809502","SA-1/8NPT-24C-PA-W","809502","SA-1/8NPT-24C-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2031"
"76","809503","SA-1/8NPT-32C-PA-W","809503","SA-1/8NPT-32C-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2096"
"77","809504","SA-1/8NPT-40C-PA-W","809504","SA-1/8NPT-40C-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2161"
"78","809505","SA-1/8NPT-48C-PA-W","809505","SA-1/8NPT-48C-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2226"
"79","809506","SA-1/8NPT-64C-PA-W","809506","SA-1/8NPT-64C-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2291"
"80","809507","SAL-1/8NPT-64D-PA-W","809507","SAL-1/8NPT-64D-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2356"
"81","809509","SA-1/4NPT-64D-PA-W","809509","SA-1/4NPT-64D-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2421"
"82","809510","SA-1/4NPT-95D-PA-W","809510","SA-1/4NPT-95D-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2486"
"83","809546","SA-G1/8-40C-PV-N(O圈FKM)","809546","SA-G1/8-40C-PV-N(O圈FKM)","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3136"
"84","809826","SA-U32-24F-PV-N","809826","SA-U32-24F-PV-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2551"
"85","809867","SA-G1/8-40C-PV-N（带O圈）","809867","SA-G1/8-40C-PV-N（带O圈）","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3266"
"86","809868","SA-G1/8-40C-PP-N（带O圈）","809868","SA-G1/8-40C-PP-N（带O圈）","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3331"
"87","809873","SA-G1/8-64C-PV-N（带O圈）","809873","SA-G1/8-64C-PV-N（带O圈）","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3396"
"88","809924","SA-G1/8-64C-PP-N（带O圈）","809924","SA-G1/8-64C-PP-N（带O圈）","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3461"
"89","809948","SA-U32-16D-PP-N","809948","SA-U32-16D-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2941"
"90","809952","SA-U32-16D-PA-W","809952","SA-U32-16D-PA-W","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3006"
"91","809953","SA-G1/8-64C-PK-N（带o圈）","809953","SA-G1/8-64C-PK-N（带o圈）","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","3526"
"92","839936","SA-3/8NPT-127-PP-N","839936","SA-3/8NPT-127-PP-N","thread-to-barbed-fittings","active","inactive","thread-to-barbed-fittings","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","2876"
