产品系列,产品Slug,产品型号,中文详情标题,中文状态,英文详情标题,英文状态,西班牙语详情标题,西班牙语状态,法语详情标题,法语状态,韩语详情标题,韩语状态,俄语详情标题,俄语状态,是否异常,异常说明,数据源文件
泵,dpl30h-24bs-ep-ps-liquid-diaphragm-pump,,DPL30H-24BS-EP/PS 液体隔膜泵,正常,DPL30H-24BS-EP/PS liquid diaphragm pump,正常,DPL30H-24BS-EP/PS,只显示型号或Slug,DPL30H-24BS-EP/PS,只显示型号或Slug,DPL30H-24BS-EP/PS,只显示型号或Slug,DPL30H-24BS-EP/PS,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30h-24ds-ep-ps-liquid-diaphragm-pump,,DPL30H-24DS-EP/PS 液体隔膜泵,正常,DPL30H-24DS-EP/PS liquid diaphragm pump,正常,DPL30H-24DS-EP/PS,只显示型号或Slug,DPL30H-24DS-EP/PS,只显示型号或Slug,DPL30H-24DS-EP/PS,只显示型号或Slug,DPL30H-24DS-EP/PS,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-brushless-liquid-diaphragm-pump,,DPL60 无刷液体隔膜泵｜600 mL/min 100 kPa｜FOREACH,正常,DPL60 Brushless Liquid Diaphragm Pump | 600 mL/min 100 kPa | FOREACH,正常,DPL60-BRUSHLESS,只显示型号或Slug,DPL60-BRUSHLESS,只显示型号或Slug,DPL60-BRUSHLESS,只显示型号或Slug,DPL60-BRUSHLESS,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-liquid-diaphragm-pump,,DPL60 液体隔膜泵,正常,DPL60 Liquid Diaphragm Pump,正常,DPL60,只显示型号或Slug,DPL60,只显示型号或Slug,DPL60,只显示型号或Slug,DPL60,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-24bb-ep-ps-liquid-diaphragm-pump,,DPL60-24BB-EP/PS 液体隔膜泵,正常,DPL60-24BB-EP/PS liquid diaphragm pump,正常,DPL60-24BB-EP/PS,只显示型号或Slug,DPL60-24BB-EP/PS,只显示型号或Slug,DPL60-24BB-EP/PS,只显示型号或Slug,DPL60-24BB-EP/PS,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-24db-ep-ps-liquid-diaphragm-pump,,DPL60-24DB-EP/PS 液体隔膜泵,正常,DPL60-24DB-EP/PS liquid diaphragm pump,正常,DPL60-24DB-EP/PS,只显示型号或Slug,DPL60-24DB-EP/PS,只显示型号或Slug,DPL60-24DB-EP/PS,只显示型号或Slug,DPL60-24DB-EP/PS,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,drpl-0109,DRPL-0109,DRPL-0109 稀释比1:9 双头无阀泵,正常,DRPL-0109 1:9 dual-head valveless piston pump,正常,DRPL-0109,只显示型号或Slug,DRPL-0109,只显示型号或Slug,DRPL-0109,只显示型号或Slug,DRPL-0109,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,drpl-0119,DRPL-0119,DRPL-0119 稀释比1:19 双头无阀泵,正常,DRPL-0119 1:19 dual-head valveless piston pump,正常,DRPL-0119,只显示型号或Slug,DRPL-0119,只显示型号或Slug,DRPL-0119,只显示型号或Slug,DRPL-0119,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,hld3-30mm-rotary-valve-syringe-pump,,HLD3 30mm 旋转阀注射泵,正常,HLD3 30 mm rotating Syringe Pump,正常,HLD3-30MM,只显示型号或Slug,HLD3-30MM,只显示型号或Slug,HLD3-30MM,只显示型号或Slug,HLD3-30MM,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,hld6-60mm-rotary-valve-syringe-pump,,HLD6 60mm 旋转阀注射泵,正常,HLD6 60 mm rotating Syringe Pump,正常,HLD6-60MM,只显示型号或Slug,HLD6-60MM,只显示型号或Slug,HLD6-60MM,只显示型号或Slug,HLD6-60MM,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,hmd3-30mm-solenoid-syringe-pump,,HMD3 30mm 电磁阀注射泵,正常,HMD3 30mm Solenoid Valve Syringe Pump,正常,HMD3-30MM,只显示型号或Slug,HMD3-30MM,只显示型号或Slug,HMD3-30MM,只显示型号或Slug,HMD3-30MM,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,hmd6-60mm-solenoid-syringe-pump,,HMD6 60mm 电磁阀注射泵,正常,HMD6 60mm Solenoid Valve Syringe Pump,正常,HMD6-60MM,只显示型号或Slug,HMD6-60MM,只显示型号或Slug,HMD6-60MM,只显示型号或Slug,HMD6-60MM,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,rpl-p15,RPL-P15,RPL-P15 300–1200 μL/rev 中大量程无阀泵,正常,RPL-P15 300–1200 μL/rev medium-to-large-volume-range valveless piston pump,正常,RPL-P15,只显示型号或Slug,RPL-P15,只显示型号或Slug,RPL-P15,只显示型号或Slug,RPL-P15,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,rpl-p4,RPL-P4,RPL-P4 12–80 μL/rev 小量程无阀泵,正常,RPL-P4 12–80 μL/rev Low-Volume Valveless Piston Pump,正常,RPL-P4,只显示型号或Slug,RPL-P4,只显示型号或Slug,RPL-P4,只显示型号或Slug,RPL-P4,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,rpl-p635,RPL-P6.35,RPL-P6.35 50–300 μL/rev 中小量程无阀泵,正常,RPL-P6.35 50–300 μL/rev small-to-medium-volume-range valveless piston pump,正常,RPL-P6.35,只显示型号或Slug,RPL-P6.35,只显示型号或Slug,RPL-P6.35,只显示型号或Slug,RPL-P6.35,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,smtp2-1000ul,SMTP2-1000μL,SMTP2 1000μL 可编程气体置换式移液泵,正常,SMTP2 1000μL programmable gas-displacementPipetting Pump,正常,SMTP2-1000μL,只显示型号或Slug,SMTP2-1000μL,只显示型号或Slug,SMTP2-1000μL,只显示型号或Slug,SMTP2-1000μL,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/pipetting-pumps/detail/index.json
泵,smtp4-100ul,SMTP4-100μL,SMTP4 100μL 气体置换式移液泵,正常,SMTP4 100μL gas-displacementPipetting Pump,正常,SMTP4-100μL,只显示型号或Slug,SMTP4-100μL,只显示型号或Slug,SMTP4-100μL,只显示型号或Slug,SMTP4-100μL,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/pipetting-pumps/detail/index.json
泵,smtp4-500ul,SMTP4-500μL,SMTP4 500μL 气体置换式移液泵,正常,SMTP4 500μL gas-displacementPipetting Pump,正常,SMTP4-500μL,只显示型号或Slug,SMTP4-500μL,只显示型号或Slug,SMTP4-500μL,只显示型号或Slug,SMTP4-500μL,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/pumps/pipetting-pumps/detail/index.json
阀,solenoid-valves,,6010 系列电磁阀,正常,6010 Solenoid Valve,正常,solenoid-valves,只显示型号或Slug,solenoid-valves,只显示型号或Slug,solenoid-valves,只显示型号或Slug,solenoid-valves,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/valves/detail/index.json
阀,high-pressure-valves,,HP 二位六通带排气高压旋转阀,正常,HP high-pressurerotating,正常,high-pressure-valves,只显示型号或Slug,high-pressure-valves,只显示型号或Slug,high-pressure-valves,只显示型号或Slug,high-pressure-valves,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/valves/detail/index.json
阀,rotary-valves,,MRV3 陶瓷多通道旋转阀,正常,MRV3 Ceramic Multiport Rotary Valve,正常,rotary-valves,只显示型号或Slug,rotary-valves,只显示型号或Slug,rotary-valves,只显示型号或Slug,rotary-valves,只显示型号或Slug,是,西班牙语：只显示型号或Slug；法语：只显示型号或Slug；韩语：只显示型号或Slug；俄语：只显示型号或Slug,data/products/generated/valves/detail/index.json
