"组号","复用商品数","不同路径数","图片SHA256","图片路径","商品编码","FOREACH型号","产品类型","产品系列"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849035","Q4004-SNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849033","Q4005-PMV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849067","Q4005-PMV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849016","Q4005-PMX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849050","Q4005-PMX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849028","Q4005-PNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849062","Q4005-PNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849011","Q4005-PNX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849045","Q4005-PNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849025","Q4005-SMV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849059","Q4005-SMV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849008","Q4005-SMX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849042","Q4005-SMX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849019","Q4005-SNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849053","Q4005-SNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849002","Q4005-SNX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849036","Q4005-SNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849034","Q4006-PMV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849068","Q4006-PMV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849017","Q4006-PMX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849051","Q4006-PMX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849029","Q4006-PNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849063","Q4006-PNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849013","Q4006-PNX-LACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849047","Q4006-PNX-LPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849012","Q4006-PNX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849046","Q4006-PNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849026","Q4006-SMV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849060","Q4006-SMV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849009","Q4006-SMX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849043","Q4006-SMX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849020","Q4006-SNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849054","Q4006-SNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849003","Q4006-SNX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849037","Q4006-SNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849031","Q4014N-PNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849065","Q4014N-PNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849023","Q4014N-SNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849057","Q4014N-SNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849006","Q4014N-SNX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849040","Q4014N-SNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869032","Q6006-PNV-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869029","Q6006-PNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869012","Q6006-PNX-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869009","Q6006-PNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869020","Q6006-SMV-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869026","Q6006-SMV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869018","Q6006-SMX-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869006","Q6006-SMX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869021","Q6006-SNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869001","Q6006-SNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869033","Q6008-PNV-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869030","Q6008-PNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869013","Q6008-PNX-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869010","Q6008-PNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869036","Q6008-SMV-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869027","Q6008-SMV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869019","Q6008-SMX-LPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869007","Q6008-SMX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869022","Q6008-SNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869002","Q6008-SNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869031","Q6012-PNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869011","Q6012-PNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869028","Q6012-SMV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869008","Q6012-SMX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869023","Q6012-SNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869003","Q6012-SNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869035","Q6012N-PNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869015","Q6012N-PNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869025","Q6012N-SNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869005","Q6012N-SNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869034","Q6038N-PNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869014","Q6038N-PNX-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869024","Q6038N-SNV-SPPE","快插接头","Q60"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","869004","Q6038N-SNX-SPPE","快插接头","Q60"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809927","标滚卡箍接头HNE-U28-32-PP-N","环保接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809922","紧凑六方卡箍接头HNE6-U28-32-PS-B","环保接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809201","CL-0-16-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809205","CL-0-20-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809207","CL-0-25-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809209","CL-0-30-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809203","CL-0-32-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809731","CL-0X-16-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809734","CL-0X-20-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809735","CL-0X-25-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809736","CL-0X-30-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809780","CL-0X-32-ET-N","卡箍","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809937","HSF-U28-16-PK-N","卡环接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809861","HSF-U28-32-PEEK-N","卡环接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809814","HSF6-U28-16-PS-B","卡环接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809828","HSF6-U28-32-PK-N","卡环接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809815","HSF6-U28-32-PS-B","卡环接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809945","紧凑卡环接头HSF6-U28-16-PK-N","卡环接头","FIT+H"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809654","CL-1-16","卡环套件","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809801","CL-1S-16","卡环套件","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809802","CL-1S-20","卡环套件","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809803","CL-1S-25","卡环套件","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809804","CL-1S-30","卡环套件","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809805","CL-1S-32","卡环套件","FIT+CL"
"2","25","1","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","809653","CL-1X-16","卡环套件","FIT+CL"
"3","2","1","621ed2e0619c530fc7c7317a8c2eef0c507fb552a246e0ed01acfcd54452cd3a","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-16-main.jpg","809057","HFL6-U28-16-PS-B","旧版紧凑平底接头","FIT+H"
"3","2","1","621ed2e0619c530fc7c7317a8c2eef0c507fb552a246e0ed01acfcd54452cd3a","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-16-main.jpg","809550","HFL6-U28-16-PS-U","旧版紧凑平底接头","FIT+H"
