"商品编码","FOREACH型号","产品类型","产品系列","图片路径","图片SHA256"
"809138","HNF6-M6-32-PS-B","旧版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hnf6-m6-32-main.jpg","aca53d461985da5cb558b49d2bfd7a08471d96a54dcfd800ed038f527c6b9e39"
"809127","HNF6-U28-16-PS-B","旧版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hnf6-u28-16-main.jpg","f771ac6dbbc862400d0db3dbefdbb9edd2027515a840975c7acacd1979a830a3"
"809137","HNF6-U28-32-PS-B","旧版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hnf6-u28-32-main.jpg","87646c9446b65da4e8521811c712a899e57135fc08506a6ced32d37eb83142c5"
"809058","HFL6-M6-16-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-m6-16-main.jpg","89ee4c3530fabddd9276da4a72e09f6a65d0fae88f61904732699192a60f0425"
"809078","HFL6-M6-20-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-m6-20-main.jpg","6f4d0dcc05f3bf6ef8c4470cb1ffcfdd6eeb03791b876f48e235e2ecb2c73114"
"809098","HFL6-M6-25-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-m6-25-main.jpg","49e7977c26296ca422877c9a5f6a6f5fd296cc3593a4efb5d6a42e994c1888eb"
"809088","HFL6-M6-30-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-m6-30-main.jpg","59c6281694a0f3735c699f210415ca8fde7dfdb3288766ff0afba28242891e3b"
"809077","HFL6-U28-20-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-20-main.jpg","0f8c1b829daacc7a5c64c6f961b852695717fe64fa290b692a9a79e730178915"
"809097","HFL6-U28-25-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-25-main.jpg","139f86ec24876a565c958868afaad6dd878dbe26f4beb2fc18d79da1ea43a8c7"
"809087","HFL6-U28-30-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-30-main.jpg","f29469061bd6cd99f4dabbda6980490d3e79daea6c79ebb27ee5c8f67e9025d2"
"839041","Q2001-PMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PMV-SACN.webp","1789b63bf3b4270fc9762664ef4c321ceb70d06d9907eaaf5d67af8632102676"
"839085","Q2001-PMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PMV-SPPE.webp","bf36733fdcabfa4aa299457754b2d1c56e62dc292746d3a719c5157a86bc2eb5"
"839019","Q2001-PMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PMX-SACN.webp","3888f821a0f87498a5a57805ff0763272a1eb45f09a34912f11dd301c12dd522"
"839063","Q2001-PMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PMX-SPPE.webp","9428bc016349fa28f75fd39aea1e4a2c849e429c51f2c5d53dd836ac0f9421bd"
"839034","Q2001-PNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PNV-SACN.webp","c6c1ea1f2317f56c22b326be149edafd88082bf537f26c1a53b812f3687f0e3b"
"839078","Q2001-PNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PNV-SPPE.webp","781212ce3c19aaabc3fdc70545c05bfa2bc0c61de58ff5631adc2b0fbac7460e"
"839012","Q2001-PNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PNX-SACN.webp","eb3d9501352de82974c674f8d44f423794466e24ff9e0ab3463114081a176f8d"
"839056","Q2001-PNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PNX-SPPE.webp","9a8d4e62910785b13f994979219ed00aa5555e474bcb705cd248f96c75c66a72"
"839030","Q2001-SMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SMV-SACN.webp","e6115c48be8c47ec67f2021215ea3888791b9c85a8792a194cd4598e9812990f"
"839074","Q2001-SMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SMV-SPPE.webp","0750b41007290ad4d0123ba8e1c4b087ce2ba5d4384deee311fed34020d1146f"
"839008","Q2001-SMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SMX-SACN.webp","d5fae828d1ecb4be9e62586d50fbf18c5f9b3551ffa9d1954c41578cf44b17e1"
"839052","Q2001-SMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SMX-SPPE.webp","ca2aa8987e9d5fb49ed2cf6dcf0e502529a35e120a5f82ea75ca039532b44522"
"839023","Q2001-SNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SNV-SACN.webp","9495856f5f29e4c25f31b20411edbe645b1d35ffb89ef0a3f13b6bdb5730fe36"
"839067","Q2001-SNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SNV-SPPE.webp","9bb2275704d3d46e2913387a49cd84890dfa8b06adb77dfa7f0c4ef49210ca1e"
"839001","Q2001-SNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SNX-SACN.webp","1acae01552dbf9e0dbf76242525f2f19830b9321b6cbf44431d131cece83f298"
"839045","Q2001-SNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-SNX-SPPE.webp","48c28f5f9382e29afd757e5b3a4ae8d63a69cd88d3f27691b4e127e6bfd04c6a"
"839042","Q2002-PMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PMV-SACN.webp","5a886df346fddafb7f583e7a195fb832a79aa294c85b53e0f8dab5f12620909e"
"839086","Q2002-PMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PMV-SPPE.webp","6ac394942975e689758cfdf7b07bdd1617f269ecfd7e70e1406757c4c4305625"
"839020","Q2002-PMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PMX-SACN.webp","b4d7ec0deb536106059d4b3e9ded553373a075ba027322f80c636515b30ad008"
"839064","Q2002-PMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PMX-SPPE.webp","a600995af6efb9e4c2bad45ae360f9b2777ebff1207a832a2eaff8e664749ed6"
"839038","Q2002-PNV-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNV-LACN.webp","0da8f87c74e1294eb88e6edc3329df07b8aac13dae9e0361f4a0d1b48398222f"
"839082","Q2002-PNV-LPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNV-LPPE.webp","d65bb9373b83a2f601362675c926a2dc64dcf4b65ee7492b515d7a3db24d59b7"
"839035","Q2002-PNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNV-SACN.webp","c66dfbc5b2b28c2ae772b45a273bf0465f7ad3dd438d1a552dbedcab295a45e7"
"839079","Q2002-PNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNV-SPPE.webp","9b5f485cee6e702b135bbdce449872e3fe3b16f1bbe2843100564201f4be4e1f"
"839016","Q2002-PNX-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNX-LACN.webp","31343c7c9e4d7719955e3aae22feb2fe95b16d2533b6a52e2d6bbf108e303517"
"839060","Q2002-PNX-LPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNX-LPPE.webp","fd602fe2e9f4293fd353cbe3bbf2ebffc4462e5ae6f46fbf48b4e15690c5505c"
"839013","Q2002-PNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNX-SACN.webp","95a09dffd620711152e0a4177ad3fb5b29a88c3c3c194853b319b01393bbea12"
"839057","Q2002-PNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNX-SPPE.webp","7d547335696a8fb317f2c942d31526cba54d0f86820bd860e8b97296d933209d"
"839031","Q2002-SMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SMV-SACN.webp","20aeed4920e784c7d595e10406ca05b8aa78f35fd893a5e3883ee5c6859c65b3"
"839075","Q2002-SMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SMV-SPPE.webp","1e58d1d92f879786ebea1a4fe5d9e3abc64ccff391529d39ccc4bc095397d567"
"839009","Q2002-SMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SMX-SACN.webp","9adee0c0cb6a16aee12a0bab82bccf2a5819175142b80289edc35bb6feffb072"
"839053","Q2002-SMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SMX-SPPE.webp","78cb29c098c5824f60be9ef0eff89949397695a9c42f23993a6555e286fa4989"
"839027","Q2002-SNV-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SNV-LACN.webp","77574355dc2c081067ba6ddf0ef7af17a062d0ce1f7b3f09afa7bd08187bbf62"
"839024","Q2002-SNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SNV-SACN.webp","dcb635874af1f2bf777320f108cbd058ff7282fc42683eb5a04e657ce9c6e823"
"839068","Q2002-SNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SNV-SPPE.webp","706fb4cf452edabe26d3f95ff2a8a6993c703507da56e2f4c215d1f4fea33829"
"839005","Q2002-SNX-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SNX-LACN.webp","42887c84a59edf0ba621879b1f5c92de3f5e414ef5f198d1e275530c861766b6"
"839002","Q2002-SNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SNX-SACN.webp","346689d3f018e4241a1db6dcfda3d8e05ac7a3184fe4a3ed2c88707b5d9d8ffc"
"839046","Q2002-SNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-SNX-SPPE.webp","705a9195044653306f11acb2f26236edc0c5349cd6f43be0538d318c76f8da3c"
"839043","Q2003-PMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PMV-SACN.webp","4ebbc18c5bf2e3264de97e21396c9b902e4a1011a3ccc73681a8fe0c79c5dbbf"
"839087","Q2003-PMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PMV-SPPE.webp","ce36d218869e9169755f6765a1d58be6c51ef253ab2a974c4107e8788dd733ac"
"839021","Q2003-PMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PMX-SACN.webp","2dd2e2df3eb21ff47f867aa9a2539b117c81f6e14d40bb35e55ffe439b7a4b20"
"839065","Q2003-PMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PMX-SPPE.webp","f73cde7445f737f49472d5b6e541c770728e059feab6c427c71e4224a67b3fcc"
"839080","Q2003-PNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PNV-SPPE.webp","4468a54c8213c60cb2bb2b9ba9c9b6542445f4d929422bea9c8e4d90b75cf62e"
"839014","Q2003-PNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PNX-SACN.webp","7238e5e3ff275218ff3910e7f1caa27c6b208eba2629d13f3c31719a11a22a6d"
"839058","Q2003-PNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-PNX-SPPE.webp","bf659dd4778b731df157da894f069996e0dda2915bc6ff37ea99189b4ec871e8"
"839032","Q2003-SMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SMV-SACN.webp","45ec1548a5054f0cd5001c61b8faf124d39529dd9857ca0f063b3ac7686882be"
"839076","Q2003-SMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SMV-SPPE.webp","03f55a62e201e27ab3f621fbfa6833f203162943db4a87ede200b3b060b04043"
"839010","Q2003-SMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SMX-SACN.webp","082e24a516da4b47ac43d70ee4c20ee5333b3816f1164f67339af4e63b4e33cf"
"839054","Q2003-SMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SMX-SPPE.webp","ecda159bb7e444688d0455603c5f4f3221f0effac8f2d754e5b68322393f2689"
"839025","Q2003-SNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SNV-SACN.webp","68c15ca3f7fc6a7cbed144cf1e226adecf174219af14cc0d8da5711af97a699c"
"839069","Q2003-SNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SNV-SPPE.webp","6309d573fd18871824d91731bb8abac17c8c13847562123aee077386358245f5"
"839003","Q2003-SNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SNX-SACN.webp","6466fee0e1cdeb93d300137de1d49350672bb3d1737ea32a07fb7f98aeb716a3"
"839047","Q2003-SNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2003-SNX-SPPE.webp","e26013f89130b06bdf39d8b5a38a5cd3770cae19937a6d5745c7ce0f0319e790"
"839044","Q2004-PMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PMV-SACN.webp","8b8910cbdb610d9068e25b4adf0e7cdf2609bdc2e35b5453aa4f5979a87df08e"
"839088","Q2004-PMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PMV-SPPE.webp","ff01b7c322855f68157c803cd13c9c2263d0cfeb1be501fe0a6333a6a2dbe24e"
"839022","Q2004-PMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PMX-SACN.webp","3080e0a42de1f95ce664eee9a4a573547d6b044b9d63b65e743ac3eab6be576f"
"839066","Q2004-PMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PMX-SPPE.webp","0f132de201edf8ae8220d4c2261868c37d3c5a73ff02e947d6808da90c635de5"
"839039","Q2004-PNV-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNV-LACN.webp","6e820af9ed97ce848fcdce712b23043b100f0267eb2fdc48877bcbc21ac5a4f9"
"839083","Q2004-PNV-LPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNV-LPPE.webp","df4a9b51e69b540f7402de497c768b3a4d4a744992cff614dddfa5ded578599c"
"839037","Q2004-PNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNV-SACN.webp","dddfa241fcea0b315c3fcb845dda534392638e013b20d8a8f59e6a43968d3e4c"
"839081","Q2004-PNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNV-SPPE.webp","6a0b57d17ab4d1dc9e48b46b7fcc41fe6cfa146fdb69041c92d88cd40ad46be3"
"839017","Q2004-PNX-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNX-LACN.webp","c8506654f8860e45f024ad6a0c9b8d3e67ad30e98322e1936b9c647544609c93"
"839061","Q2004-PNX-LPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNX-LPPE.webp","3f75b17f124f2c568f7aad4f05e2021b18e2a63790af11e7449c92f284f7eeda"
"839015","Q2004-PNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNX-SACN.webp","2a626af2b3d3f72bddb125ceb60250cd4954810e3614ea9d566432442e326ddf"
"839059","Q2004-PNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-PNX-SPPE.webp","54ad0438f56b45b7d6f25997df7dab8a99762b29b4600cb380af68635340ebae"
"839033","Q2004-SMV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SMV-SACN.webp","35946f5204d8e9624c4eb16dfe8070736f0df75f00ed5475666e152c42ab1c6b"
"839077","Q2004-SMV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SMV-SPPE.webp","11397e9bca9ad204f918c3906c877153768c97a2bec8efe0eb1a8e7216ccdcc7"
"839011","Q2004-SMX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SMX-SACN.webp","c97e8bd25df9762469629b0615748f574ba929a3c75771bb06af8900688b8f14"
"839055","Q2004-SMX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SMX-SPPE.webp","c381dc99c94fd24d79dfbb5e0a47bc36b11353a1fc01e4105f938f5068310ebd"
"839028","Q2004-SNV-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SNV-LACN.webp","9d21e534c6a126e1e12e32d288f10cc7e2d699e866ea0858a83771d9a1cf0ae2"
"839026","Q2004-SNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SNV-SACN.webp","4e678c1ef37ed5d6d520afd166233754f2938ffb622d76ae63a434dcea9595a4"
"839070","Q2004-SNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SNV-SPPE.webp","4660a67d1bcf0dbc1355509dffc959e5eabdc01aa25b8edf1e842b362cc5c3d3"
"839006","Q2004-SNX-LACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SNX-LACN.webp","ec2c9797c7a787c01630e204c69d6e38ed86131ba462a5abb24fc86018f84eca"
"839004","Q2004-SNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SNX-SACN.webp","91d09fcc6bcf450d47fb79ce2fd2072953cc9db02353aa42a9974d06f856dc28"
"839048","Q2004-SNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2004-SNX-SPPE.webp","95ae723b986e7c5724a1332c58adb580fa8663cc4cb8999ea7a2dfb928953941"
"839040","Q2018N-PNV-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2018N-PNV-SACN.webp","83b2373c464a2dd3193a1efaf56bf81f2cc52beb7c1c0d32d18e35df7dc8dce1"
"839084","Q2018N-PNV-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2018N-PNV-SPPE.webp","560de395e232507d5502e1fb9ab1425f79e1368d390c33fcd33c6719894f2926"
"839018","Q2018N-PNX-SACN","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2018N-PNX-SACN.webp","a0f53ae1ba57cc99349cfb5a26573e02d207e7e472cbcca7abbae3e76ba786a7"
"839062","Q2018N-PNX-SPPE","快插接头","Q20","/images/resources/selection-support/fitting-replacement/q20/products/Q2018N-PNX-SPPE.webp","2b5ef1b5e9b7a46216da9aaf09c597567aba7bfc48408cd4c660ed8acae8b839"
"809728","HN-M6-16-PK-N","新版标滚卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-ferrule-fitting/hn-m6-16-pk-n-main.jpg","aef3b804b3709ad7c24102305d3fcae3c61e6ffb8885d0793407023d9c3946da"
"809729","HN-M6-32-PK-N","新版标滚卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-ferrule-fitting/hn-m6-32-pk-n-main.jpg","5bdc4c1967e531e3ad08badf593e273a8dbfaf22483ad9e127d4478ab96a54b4"
"809726","HN-U28-16-PK-N","新版标滚卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-ferrule-fitting/hn-u28-16-pk-n-main.jpg","cee8a7219e7a2c7e76926ae18f43e41393ef64adde3eade6fca6f9beeaef6fff"
"809727","HN-U28-32-PK-N","新版标滚卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-ferrule-fitting/hn-u28-32-pk-n-main.jpg","0f04122c4ed731fc9980632943b01f5219ab3d3bfc8795b62725b630f5bd1bf6"
"809732","HN6-M6-16-PK-N","新版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hn6-m6-16-pk-n-main.jpg","20efd7a50c9853e963405e1fa619c2ef082ea2dfae295e8628cef7fd06eae9c8"
"809733","HN6-M6-32-PK-N","新版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hn6-m6-32-pk-n-main.jpg","218a5f5650206c9cddb30591e45df600fb0ef3cfeff2951dce524278061d4417"
"809730","HN6-U28-16-PK-N","新版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hn6-u28-16-pk-n-main.jpg","db0534133879489cefc89fed324519ba69bfc1c24db786265ed081106eb19ff3"
"809923","HN6-U28-32-PK-B","新版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hn6-u28-32-main.jpg","23b0f2c5bc3fd135de2c5c2a575cf827dc29646a2a3031d50be4164d9b356a9a"
"809753","HF6-U28-20-PS-B","新版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hf6-u28-20-ps-b-main.jpg","b6e5a704a069668f2df641b737f9e3f96ca1485fc0d7099131ec9066bd6e8833"
"809755","HF6-U28-25-PS-B","新版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hf6-u28-25-ps-b-main.jpg","ab4de695d7ab0e189777599fb22c31dd45eafd8f20b1c1e7d3fba79120aa4757"
"809757","HF6-U28-32-PS-B","新版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hf6-u28-32-ps-b-main.jpg","6c1d0ce3ab0c1d0504117a8eb3ed82f477937be953925020083256fc253ccafa"
