"商品编码","FOREACH型号","产品类型","产品系列","图片路径","本地文件","文件存在","文件大小","图片SHA256","图片分类","直接异常","同路径复用","同内容复用","全部原因","首页显示","详情地址"
"809736","CL-0X-30-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809780","CL-0X-32-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809937","HSF-U28-16-PK-N","卡环接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hsf-u28-16-pk-n"
"809861","HSF-U28-32-PEEK-N","卡环接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hsf-u28-32-peek-n"
"809814","HSF6-U28-16-PS-B","卡环接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hsf6-u28-16-ps-b"
"809828","HSF6-U28-32-PK-N","卡环接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hsf6-u28-32-pk-n"
"809815","HSF6-U28-32-PS-B","卡环接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hsf6-u28-32-ps-b"
"809945","紧凑卡环接头HSF6-U28-16-PK-N","卡环接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hsf6-u28-16-pk-n"
"809654","CL-1-16","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809801","CL-1S-16","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809802","CL-1S-20","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809803","CL-1S-25","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809804","CL-1S-30","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809805","CL-1S-32","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809653","CL-1X-16","卡环套件","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
