"序号","产品编码","型号","产品ID","产品名称","接头类型","数据来源类型","当前状态","详情Slug","详情链接","主图字段","主图引用路径","实际匹配路径","检查结果","建议动作","数据文件","数据位置"
"12","806220","BX4-16-PP-N","806220","BX4-16-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9191 行"
"13","806221","BX4-32-PP-N","806221","BX4-32-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9305 行"
"14","806224","BF4-16-PP-N","806224","BF4-16-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9020 行"
"15","806256","BA-95-127-PP-N","806256","BA-95-127-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3031 行"
"16","806272","BA-40-79-AC-W","806272","BA-40-79-AC-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3089 行"
"17","806276","BA-48-95-PP-N","806276","BA-48-95-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2799 行"
"18","806282","BY-79-PP-N","806282","BY-79-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8961 行"
"19","809276","BA-16F-PP-N","809276","BA-16F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 15 行"
"20","809277","BA-24F-PP-N","809277","BA-24F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 73 行"
"21","809278","BA-32F-PP-N","809278","BA-32F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 131 行"
"22","809279","BA-40F-PP-N","809279","BA-40F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-40f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-40f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 189 行"
"23","809283","BBL-16D-PP-N","809283","BBL-16D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bbl-16d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bbl-16d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9362 行"
"24","809284","BBL-24D-PP-N","809284","BBL-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bbl-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bbl-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9419 行"
"25","809285","BBL-32D-PP-N","809285","BBL-32D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bbl-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bbl-32d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9476 行"
"26","809287","BT-16D-24D-24D-PP-N","809287","BT-16D-24D-24D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-16d-24d-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-16d-24d-24d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6955 行"
"27","809288","BA-16F-24F-PP-N","809288","BA-16F-24F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-24f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 247 行"
"28","809289","BA-24F-32F-PP-N","809289","BA-24F-32F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24f-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-32f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 305 行"
"29","809294","BY-16F-PP-N","809294","BY-16F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-16f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-16f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7309 行"
"30","809295","BY-24F-PP-N","809295","BY-24F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-24f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7368 行"
"31","809296","BY-32F-PP-N","809296","BY-32F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-32f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7427 行"
"32","809297","BY-40D-PP-N","809297","BY-40D-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-40d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-40d-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7486 行"
"33","809298","BY-64F-PP-N","809298","BY-64F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-64f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-64f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7545 行"
"34","809300","BA-16C-PA-W","809300","BA-16C-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16c-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16c-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2277 行"
"35","809309","BT-16F-PP-N","809309","BT-16F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-16f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-16f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4713 行"
"36","809310","BT-24F-PP-N","809310","BT-24F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4772 行"
"37","809311","BT-32F-PP-N","809311","BT-32F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4831 行"
"38","809321","BA-16F-PA-W","809321","BA-16F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 363 行"
"39","809322","BA-16F-24F-PA-W","809322","BA-16F-24F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-24f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 421 行"
"40","809324","BA-24F-PA-W","809324","BA-24F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 479 行"
"41","809325","BA-24F-32F-PA-W","809325","BA-24F-32F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-24f-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-32f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 537 行"
"42","809326","BY-24F-PA-W","809326","BY-24F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-24f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7604 行"
"43","809327","BT-24F-PA-W","809327","BT-24F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-24f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4890 行"
"44","809328","BA-32F-PA-W","809328","BA-32F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 595 行"
"45","809329","BA-40F-PA-W","809329","BA-40F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-40f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-40f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 653 行"
"46","809330","BA-16F-32F-PP-N","809330","BA-16F-32F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-32f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 711 行"
"47","809332","BA-16F-32F-PA-W","809332","BA-16F-32F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/ba-16f-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-32f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 769 行"
"48","809334","BY-16F-PA-W","809334","BY-16F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-16f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-16f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7663 行"
"49","809335","BY-32F-PA-W","809335","BY-32F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-32f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7722 行"
"50","809336","BY-64F-PA-W","809336","BY-64F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-64f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-64f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7781 行"
"51","809337","BT-16F-PA-W","809337","BT-16F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-16f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-16f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 4949 行"
"52","809338","BT-32F-PA-W","809338","BT-32F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bt-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bt-32f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 5008 行"
"53","809341","BY-48F-PP-N","809341","BY-48F-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-48f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-48f-pp-n-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7840 行"
"54","809343","BY-48F-PA-W","809343","BY-48F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/by-48f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\by-48f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 7899 行"
"55","809345","BL-16F-PA-W","809345","BL-16F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-16f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3205 行"
"56","809346","BL-24F-PA-W","809346","BL-24F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3263 行"
"57","809347","BL-32F-PA-W","809347","BL-32F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-32f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3321 行"
"58","809348","BL-40F-PA-W","809348","BL-40F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-40f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-40f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3379 行"
"59","809349","BL-64F-PA-W","809349","BL-64F-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-64f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-64f-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3437 行"
"60","809350","BL-95D-PA-W","809350","BL-95D-PA-W","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/products/fittings/barbed-fittings/products/bl-95d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-95d-pa-w-main.jpg","正常","无需处理","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3495 行"
