"序号","数据文件","商品编码","型号","原状态","新状态","本次修改","匹配方式","原数据行"
"50","data/products/selection/filter-check-valve-selection.generated.ts","129005","CV-BF-32-PP-B","active","hidden","是","商品编码/产品ID","2186"
"51","data/products/selection/female-thread-adapter-selection.generated.ts","809939","","active","hidden","是","商品编码/产品ID","486"
"52","data/products/selection/female-thread-adapter-selection.generated.ts","809033","","active","hidden","是","商品编码/产品ID","602"
"53","data/products/selection/female-thread-adapter-selection.generated.ts","809317","","active","hidden","是","商品编码/产品ID","630"
"54","data/products/selection/female-thread-adapter-selection.generated.ts","809659","","active","hidden","是","商品编码/产品ID","659"
"55","data/products/selection/female-thread-adapter-selection.generated.ts","809664","","active","hidden","是","商品编码/产品ID","688"
"56","data/products/selection/luer-fitting-selection.generated.ts","809932","","active","hidden","是","商品编码/产品ID","1790"
"57","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809268","SA-U32-24F-PP-N","active","hidden","是","商品编码/产品ID","16"
"58","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809323","SA-U32-24F-PA-W","active","hidden","是","商品编码/产品ID","146"
"59","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809339","SA-U32-16F-PA-W","active","hidden","是","商品编码/产品ID","211"
"60","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809470","SA-1/8NPT-24C-PP-N","active","hidden","是","商品编码/产品ID","1186"
"61","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809471","SA-1/8NPT-32C-PP-N","active","hidden","是","商品编码/产品ID","1251"
"62","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809472","SA-1/8NPT-40C-PP-N","active","hidden","是","商品编码/产品ID","1316"
"63","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809473","SA-1/8NPT-48C-PP-N","active","hidden","是","商品编码/产品ID","1381"
"64","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809474","SA-1/8NPT-64C-PP-N","active","hidden","是","商品编码/产品ID","1446"
"65","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809475","SAL-1/8NPT-64D-PP-N","active","hidden","是","商品编码/产品ID","1511"
"66","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809476","SA-1/4NPT-32D-PP-N","active","hidden","是","商品编码/产品ID","1576"
"67","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809477","SA-1/4NPT-64D-PP-N","active","hidden","是","商品编码/产品ID","1641"
"68","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809478","SA-1/4NPT-95D-PP-N","active","hidden","是","商品编码/产品ID","1706"
"69","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809502","SA-1/8NPT-24C-PA-W","active","hidden","是","商品编码/产品ID","2031"
"70","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809503","SA-1/8NPT-32C-PA-W","active","hidden","是","商品编码/产品ID","2096"
"71","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809504","SA-1/8NPT-40C-PA-W","active","hidden","是","商品编码/产品ID","2161"
"72","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809505","SA-1/8NPT-48C-PA-W","active","hidden","是","商品编码/产品ID","2226"
"73","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809506","SA-1/8NPT-64C-PA-W","active","hidden","是","商品编码/产品ID","2291"
"74","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809507","SAL-1/8NPT-64D-PA-W","active","hidden","是","商品编码/产品ID","2356"
"75","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809509","SA-1/4NPT-64D-PA-W","active","hidden","是","商品编码/产品ID","2421"
"76","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809510","SA-1/4NPT-95D-PA-W","active","hidden","是","商品编码/产品ID","2486"
"77","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809826","SA-U32-24F-PV-N","active","hidden","是","商品编码/产品ID","2551"
"78","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","839936","SA-3/8NPT-127-PP-N","active","hidden","是","商品编码/产品ID","2876"
"79","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809948","SA-U32-16D-PP-N","active","hidden","是","商品编码/产品ID","2941"
"80","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809952","SA-U32-16D-PA-W","active","hidden","是","商品编码/产品ID","3006"
"81","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809490","SA-G1/8-40C-PV-N","active","hidden","是","商品编码/产品ID","3071"
"82","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809546","SA-G1/8-40C-PV-N(O圈FKM)","active","hidden","是","商品编码/产品ID","3136"
"83","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809034","SA-G1/8-64C-PP-N（带O圈）","active","hidden","是","商品编码/产品ID","3201"
"84","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809867","SA-G1/8-40C-PV-N（带O圈）","active","hidden","是","商品编码/产品ID","3266"
"85","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809868","SA-G1/8-40C-PP-N（带O圈）","active","hidden","是","商品编码/产品ID","3331"
"86","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809873","SA-G1/8-64C-PV-N（带O圈）","active","hidden","是","商品编码/产品ID","3396"
"87","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809924","SA-G1/8-64C-PP-N（带O圈）","active","hidden","是","商品编码/产品ID","3461"
"88","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809953","SA-G1/8-64C-PK-N（带O圈）","active","hidden","是","商品编码/产品ID","3526"
"89","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809004","SB-U28-16-PP-W","active","hidden","是","商品编码/产品ID","5021"
"90","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809011","SB-U28-32-PP-W","active","hidden","是","商品编码/产品ID","5086"
"91","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809018","SB-M6-16-PP-W","active","hidden","是","商品编码/产品ID","5151"
"92","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809025","SB-M6-32-PP-W","active","hidden","是","商品编码/产品ID","5216"
