产品系列,产品Slug,产品型号,中文详情标题,中文状态,英文详情标题,英文状态,西班牙语详情标题,西班牙语状态,法语详情标题,法语状态,韩语详情标题,韩语状态,俄语详情标题,俄语状态,是否异常,异常说明,数据源文件
泵,dpgl800-24bs6-ff-ps-gas-liquid-diaphragm-pump,,DPGL800-24BS6-FF/PS 气液混合隔膜泵,正常,DPGL800-24BS6-FF/PS gas-liquid diaphragm pump,正常,DPGL800-24BS6-FF/PS,正常,DPGL800-24BS6-FF/PS,正常,DPGL800-24BS6-FF/PS,缺少韩文标题,DPGL800-24BS6-FF/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,drpl-0109,DRPL-0109,DRPL-0109 稀释比1:9 双头无阀泵,正常,DRPL-0109 1:9 dual-head valveless piston pump,正常,DRPL-0109,只显示型号,DRPL-0109,只显示型号,DRPL-0109,只显示型号,DRPL-0109,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,drpl-0119,DRPL-0119,DRPL-0119 稀释比1:19 双头无阀泵,正常,DRPL-0119 1:19 dual-head valveless piston pump,正常,DRPL-0119,只显示型号,DRPL-0119,只显示型号,DRPL-0119,只显示型号,DRPL-0119,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,hld3-30mm-rotary-valve-syringe-pump,,HLD3 30mm 旋转阀注射泵,正常,HLD3 30 mm rotating Syringe Pump,正常,HLD3-30MM,正常,HLD3-30MM,正常,HLD3-30MM,缺少韩文标题,HLD3-30MM,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,hld6-60mm-rotary-valve-syringe-pump,,HLD6 60mm 旋转阀注射泵,正常,HLD6 60 mm rotating Syringe Pump,正常,HLD6-60MM,正常,HLD6-60MM,正常,HLD6-60MM,缺少韩文标题,HLD6-60MM,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,hmd3-30mm-solenoid-syringe-pump,,HMD3 30mm 电磁阀注射泵,正常,HMD3 30mm Solenoid Valve Syringe Pump,正常,HMD3-30MM,正常,HMD3-30MM,正常,HMD3-30MM,缺少韩文标题,HMD3-30MM,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,hmd6-60mm-solenoid-syringe-pump,,HMD6 60mm 电磁阀注射泵,正常,HMD6 60mm Solenoid Valve Syringe Pump,正常,HMD6-60MM,正常,HMD6-60MM,正常,HMD6-60MM,缺少韩文标题,HMD6-60MM,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,rpl-p15,RPL-P15,RPL-P15 300–1200 μL/rev 中大量程无阀泵,正常,RPL-P15 300–1200 μL/rev medium-to-large-volume-range valveless piston pump,正常,RPL-P15,只显示型号,RPL-P15,只显示型号,RPL-P15,只显示型号,RPL-P15,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,rpl-p4,RPL-P4,RPL-P4 12–80 μL/rev 小量程无阀泵,正常,RPL-P4 12–80 μL/rev Low-Volume Valveless Piston Pump,正常,RPL-P4,只显示型号,RPL-P4,只显示型号,RPL-P4,只显示型号,RPL-P4,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,rpl-p635,RPL-P6.35,RPL-P6.35 50–300 μL/rev 中小量程无阀泵,正常,RPL-P6.35 50–300 μL/rev small-to-medium-volume-range valveless piston pump,正常,RPL-P6.35,只显示型号,RPL-P6.35,只显示型号,RPL-P6.35,只显示型号,RPL-P6.35,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,smtp2-1000ul,SMTP2-1000μL,SMTP2 1000μL 可编程气体置换式移液泵,正常,SMTP2 1000μL programmable gas-displacementPipetting Pump,正常,SMTP2-1000μL,只显示型号,SMTP2-1000μL,只显示型号,SMTP2-1000μL,只显示型号,SMTP2-1000μL,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/pipetting-pumps/detail/index.json
泵,smtp4-100ul,SMTP4-100μL,SMTP4 100μL 气体置换式移液泵,正常,SMTP4 100μL gas-displacementPipetting Pump,正常,SMTP4-100μL,只显示型号,SMTP4-100μL,只显示型号,SMTP4-100μL,只显示型号,SMTP4-100μL,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/pipetting-pumps/detail/index.json
泵,smtp4-500ul,SMTP4-500μL,SMTP4 500μL 气体置换式移液泵,正常,SMTP4 500μL gas-displacementPipetting Pump,正常,SMTP4-500μL,只显示型号,SMTP4-500μL,只显示型号,SMTP4-500μL,只显示型号,SMTP4-500μL,只显示型号,是,西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/pumps/pipetting-pumps/detail/index.json
阀,rotary-valves,,MRV3 陶瓷多通道旋转阀,正常,MRV3 Ceramic Multiport Rotary Valve,正常,rotary-valves,正常,rotary-valves,正常,rotary-valves,缺少韩文标题,rotary-valves,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/valves/detail/index.json
阀,high-pressure-valves,,HP 二位六通带排气高压旋转阀,正常,HP high-pressurerotating,正常,high-pressure-valves,正常,high-pressure-valves,正常,high-pressure-valves,缺少韩文标题,high-pressure-valves,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/valves/detail/index.json
阀,solenoid-valves,,6010 系列电磁阀,正常,6010 Solenoid Valve,正常,solenoid-valves,正常,solenoid-valves,正常,solenoid-valves,缺少韩文标题,solenoid-valves,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/valves/detail/index.json
阀,cv-be-24-pp-n,CV-BE-24-PP-N,CV-BE-24-PP-N,只显示型号,CV-BE-24-PP-N,只显示型号,CV-BE-24-PP-N,只显示型号,CV-BE-24-PP-N,只显示型号,CV-BE-24-PP-N,只显示型号,CV-BE-24-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-be-32-pp-n,CV-BE-32-PP-N,CV-BE-32-PP-N,只显示型号,CV-BE-32-PP-N,只显示型号,CV-BE-32-PP-N,只显示型号,CV-BE-32-PP-N,只显示型号,CV-BE-32-PP-N,只显示型号,CV-BE-32-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-be-32-pv-n,CV-BE-32-PV-N,CV-BE-32-PV-N,只显示型号,CV-BE-32-PV-N,只显示型号,CV-BE-32-PV-N,只显示型号,CV-BE-32-PV-N,只显示型号,CV-BE-32-PV-N,只显示型号,CV-BE-32-PV-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-be-64-pp-n,CV-BE-64-PP-N,CV-BE-64-PP-N,只显示型号,CV-BE-64-PP-N,只显示型号,CV-BE-64-PP-N,只显示型号,CV-BE-64-PP-N,只显示型号,CV-BE-64-PP-N,只显示型号,CV-BE-64-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-be-79-pp-n,CV-BE-79-PP-N,CV-BE-79-PP-N,只显示型号,CV-BE-79-PP-N,只显示型号,CV-BE-79-PP-N,只显示型号,CV-BE-79-PP-N,只显示型号,CV-BE-79-PP-N,只显示型号,CV-BE-79-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-be-95-pp-n,CV-BE-95-PP-N,CV-BE-95-PP-N,只显示型号,CV-BE-95-PP-N,只显示型号,CV-BE-95-PP-N,只显示型号,CV-BE-95-PP-N,只显示型号,CV-BE-95-PP-N,只显示型号,CV-BE-95-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bf-16-pv-n,CV-BF-16-PV-N,CV-BF-16-PV-N,只显示型号,CV-BF-16-PV-N,只显示型号,CV-BF-16-PV-N,只显示型号,CV-BF-16-PV-N,只显示型号,CV-BF-16-PV-N,只显示型号,CV-BF-16-PV-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bf-32-pp-b,CV-BF-32-PP-B,CV-BF-32-PP-B,只显示型号,CV-BF-32-PP-B,只显示型号,CV-BF-32-PP-B,只显示型号,CV-BF-32-PP-B,只显示型号,CV-BF-32-PP-B,只显示型号,CV-BF-32-PP-B,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bf-32-pp-n,CV-BF-32-PP-N,CV-BF-32-PP-N,只显示型号,CV-BF-32-PP-N,只显示型号,CV-BF-32-PP-N,只显示型号,CV-BF-32-PP-N,只显示型号,CV-BF-32-PP-N,只显示型号,CV-BF-32-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bv-32-pp-n,CV-BV-32-PP-N,CV-BV-32-PP-N,只显示型号,CV-BV-32-PP-N,只显示型号,CV-BV-32-PP-N,只显示型号,CV-BV-32-PP-N,只显示型号,CV-BV-32-PP-N,只显示型号,CV-BV-32-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bv-48-pp-n,CV-BV-48-PP-N,CV-BV-48-PP-N,只显示型号,CV-BV-48-PP-N,只显示型号,CV-BV-48-PP-N,只显示型号,CV-BV-48-PP-N,只显示型号,CV-BV-48-PP-N,只显示型号,CV-BV-48-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bv-64-pp-n,CV-BV-64-PP-N,CV-BV-64-PP-N,只显示型号,CV-BV-64-PP-N,只显示型号,CV-BV-64-PP-N,只显示型号,CV-BV-64-PP-N,只显示型号,CV-BV-64-PP-N,只显示型号,CV-BV-64-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-bv-79-pp-n,CV-BV-79-PP-N,CV-BV-79-PP-N,只显示型号,CV-BV-79-PP-N,只显示型号,CV-BV-79-PP-N,只显示型号,CV-BV-79-PP-N,只显示型号,CV-BV-79-PP-N,只显示型号,CV-BV-79-PP-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-de-16-pv-n,CV-DE-16-PV-N,CV-DE-16-PV-N,只显示型号,CV-DE-16-PV-N,只显示型号,CV-DE-16-PV-N,只显示型号,CV-DE-16-PV-N,只显示型号,CV-DE-16-PV-N,只显示型号,CV-DE-16-PV-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-de-24-pv-n,CV-DE-24-PV-N,CV-DE-24-PV-N,只显示型号,CV-DE-24-PV-N,只显示型号,CV-DE-24-PV-N,只显示型号,CV-DE-24-PV-N,只显示型号,CV-DE-24-PV-N,只显示型号,CV-DE-24-PV-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,cv-de-32-pv-n,CV-DE-32-PV-N,CV-DE-32-PV-N,只显示型号,CV-DE-32-PV-N,只显示型号,CV-DE-32-PV-N,只显示型号,CV-DE-32-PV-N,只显示型号,CV-DE-32-PV-N,只显示型号,CV-DE-32-PV-N,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/check-valves/detail/index.json
阀,q2001-pmv-sacn,Q2001-PMV-SACN,Q2001-PMV-SACN,只显示型号,Q2001-PMV-SACN,只显示型号,Q2001-PMV-SACN,只显示型号,Q2001-PMV-SACN,只显示型号,Q2001-PMV-SACN,只显示型号,Q2001-PMV-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pmv-sppe,Q2001-PMV-SPPE,Q2001-PMV-SPPE,只显示型号,Q2001-PMV-SPPE,只显示型号,Q2001-PMV-SPPE,只显示型号,Q2001-PMV-SPPE,只显示型号,Q2001-PMV-SPPE,只显示型号,Q2001-PMV-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pmx-sacn,Q2001-PMX-SACN,Q2001-PMX-SACN,只显示型号,Q2001-PMX-SACN,只显示型号,Q2001-PMX-SACN,只显示型号,Q2001-PMX-SACN,只显示型号,Q2001-PMX-SACN,只显示型号,Q2001-PMX-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pmx-sppe,Q2001-PMX-SPPE,Q2001-PMX-SPPE,只显示型号,Q2001-PMX-SPPE,只显示型号,Q2001-PMX-SPPE,只显示型号,Q2001-PMX-SPPE,只显示型号,Q2001-PMX-SPPE,只显示型号,Q2001-PMX-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pnv-sacn,Q2001-PNV-SACN,Q2001-PNV-SACN,只显示型号,Q2001-PNV-SACN,只显示型号,Q2001-PNV-SACN,只显示型号,Q2001-PNV-SACN,只显示型号,Q2001-PNV-SACN,只显示型号,Q2001-PNV-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pnv-sppe,Q2001-PNV-SPPE,Q2001-PNV-SPPE,只显示型号,Q2001-PNV-SPPE,只显示型号,Q2001-PNV-SPPE,只显示型号,Q2001-PNV-SPPE,只显示型号,Q2001-PNV-SPPE,只显示型号,Q2001-PNV-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pnx-sacn,Q2001-PNX-SACN,Q2001-PNX-SACN,只显示型号,Q2001-PNX-SACN,只显示型号,Q2001-PNX-SACN,只显示型号,Q2001-PNX-SACN,只显示型号,Q2001-PNX-SACN,只显示型号,Q2001-PNX-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-pnx-sppe,Q2001-PNX-SPPE,Q2001-PNX-SPPE,只显示型号,Q2001-PNX-SPPE,只显示型号,Q2001-PNX-SPPE,只显示型号,Q2001-PNX-SPPE,只显示型号,Q2001-PNX-SPPE,只显示型号,Q2001-PNX-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-smv-sacn,Q2001-SMV-SACN,Q2001-SMV-SACN,只显示型号,Q2001-SMV-SACN,只显示型号,Q2001-SMV-SACN,只显示型号,Q2001-SMV-SACN,只显示型号,Q2001-SMV-SACN,只显示型号,Q2001-SMV-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-smv-sppe,Q2001-SMV-SPPE,Q2001-SMV-SPPE,只显示型号,Q2001-SMV-SPPE,只显示型号,Q2001-SMV-SPPE,只显示型号,Q2001-SMV-SPPE,只显示型号,Q2001-SMV-SPPE,只显示型号,Q2001-SMV-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-smx-sacn,Q2001-SMX-SACN,Q2001-SMX-SACN,只显示型号,Q2001-SMX-SACN,只显示型号,Q2001-SMX-SACN,只显示型号,Q2001-SMX-SACN,只显示型号,Q2001-SMX-SACN,只显示型号,Q2001-SMX-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-smx-sppe,Q2001-SMX-SPPE,Q2001-SMX-SPPE,只显示型号,Q2001-SMX-SPPE,只显示型号,Q2001-SMX-SPPE,只显示型号,Q2001-SMX-SPPE,只显示型号,Q2001-SMX-SPPE,只显示型号,Q2001-SMX-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-snv-sacn,Q2001-SNV-SACN,Q2001-SNV-SACN,只显示型号,Q2001-SNV-SACN,只显示型号,Q2001-SNV-SACN,只显示型号,Q2001-SNV-SACN,只显示型号,Q2001-SNV-SACN,只显示型号,Q2001-SNV-SACN,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀,q2001-snv-sppe,Q2001-SNV-SPPE,Q2001-SNV-SPPE,只显示型号,Q2001-SNV-SPPE,只显示型号,Q2001-SNV-SPPE,只显示型号,Q2001-SNV-SPPE,只显示型号,Q2001-SNV-SPPE,只显示型号,Q2001-SNV-SPPE,只显示型号,是,中文：只显示型号；英文：只显示型号；西班牙语：只显示型号；法语：只显示型号；韩语：只显示型号；俄语：只显示型号,data/products/generated/fittings/quick-connect-fittings/detail/index.json
