映射来源,替代数据位置,替代数据商品编码,替代数据FOREACH型号,竞品型号数量,竞品型号,匹配状态,匹配方式,正式数据匹配数,产品中心商品编码,产品中心FOREACH型号,产品中心Slug,产品中心详情链接,产品中心标题,建议桥接键
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[49],809805,CL-1S-32,3,P-350x和P-359x | 008FK32 | KCF-045SU316+YE-032F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[50],809653,CL-1X-16,1,M-650x,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[51],839041,Q2001-PMV-SACN,2,PMCD4201 | 20ACV-PB3-01,唯一匹配,productCode + foreachModel,1,839041,Q2001-PMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[52],839085,Q2001-PMV-SPPE,1,PMCD420112,唯一匹配,productCode + foreachModel,1,839085,Q2001-PMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[53],839019,Q2001-PMX-SACN,2,PMC4201 | 20AC-PB3-01,唯一匹配,productCode + foreachModel,1,839019,Q2001-PMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[54],839063,Q2001-PMX-SPPE,2,PMC420112 | 20PP-PE3-01MALD,唯一匹配,productCode + foreachModel,1,839063,Q2001-PMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[55],839034,Q2001-PNV-SACN,2,PMCD2201 | 20ACV-PB2-01,唯一匹配,productCode + foreachModel,1,839034,Q2001-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[56],839078,Q2001-PNV-SPPE,2,PMCD220112 | 20PPV-PE2-01MALD,唯一匹配,productCode + foreachModel,1,839078,Q2001-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[57],839012,Q2001-PNX-SACN,2,PMC2201 | 20AC-PB2-01,唯一匹配,productCode + foreachModel,1,839012,Q2001-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[58],839056,Q2001-PNX-SPPE,2,PMC220112 | 20PP-PE2-01MALD,唯一匹配,productCode + foreachModel,1,839056,Q2001-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[59],839030,Q2001-SMV-SACN,2,PMCD1601 | 20ACV-SB3-01,唯一匹配,productCode + foreachModel,1,839030,Q2001-SMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[60],839074,Q2001-SMV-SPPE,2,PMCD160112 | 20PPV-SE3-01MALD,唯一匹配,productCode + foreachModel,1,839074,Q2001-SMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[61],839008,Q2001-SMX-SACN,2,PMC1601 | 20AC-S3-01,唯一匹配,productCode + foreachModel,1,839008,Q2001-SMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[62],839052,Q2001-SMX-SPPE,2,PMC160112 | 20PP-S3-01MALD,唯一匹配,productCode + foreachModel,1,839052,Q2001-SMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[63],839023,Q2001-SNV-SACN,2,PMCD1701 | 20ACV-SB2-01,唯一匹配,productCode + foreachModel,1,839023,Q2001-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[64],839067,Q2001-SNV-SPPE,2,PMCD170112 | 20PPV-SE2-01MALD,唯一匹配,productCode + foreachModel,1,839067,Q2001-SNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[65],839001,Q2001-SNX-SACN,2,PMC1701 | 20AC-S2-01,唯一匹配,productCode + foreachModel,1,839001,Q2001-SNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[66],839045,Q2001-SNX-SPPE,2,PMC170112 | 20PP-S2-01MALD,唯一匹配,productCode + foreachModel,1,839045,Q2001-SNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[67],839042,Q2002-PMV-SACN,2,PMCD4202 | 20ACV-PB3-02,唯一匹配,productCode + foreachModel,1,839042,Q2002-PMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[68],839086,Q2002-PMV-SPPE,1,PMCD420212,唯一匹配,productCode + foreachModel,1,839086,Q2002-PMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[69],839020,Q2002-PMX-SACN,2,PMC4202 | 20AC-PB3-02,唯一匹配,productCode + foreachModel,1,839020,Q2002-PMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[70],839064,Q2002-PMX-SPPE,2,PMC420212 | 20PP-PE3-02MALD,唯一匹配,productCode + foreachModel,1,839064,Q2002-PMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[71],839038,Q2002-PNV-LACN,2,PMCD2302 | 20ACV-PB4-02,唯一匹配,productCode + foreachModel,1,839038,Q2002-PNV-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[72],839082,Q2002-PNV-LPPE,2,PMCD230212 | 20PPV-PE4-02MALD,唯一匹配,productCode + foreachModel,1,839082,Q2002-PNV-LPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[73],839035,Q2002-PNV-SACN,2,PMCD2202 | 20ACV-PB2-02,唯一匹配,productCode + foreachModel,1,839035,Q2002-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[74],839079,Q2002-PNV-SPPE,2,PMCD220212 | 20PPV-PE2-02MALD,唯一匹配,productCode + foreachModel,1,839079,Q2002-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[75],839016,Q2002-PNX-LACN,2,PMC2302 | 20AC-PB4-02,唯一匹配,productCode + foreachModel,1,839016,Q2002-PNX-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[76],839060,Q2002-PNX-LPPE,2,PMC230212 | 20PP-PE4-02MALD,唯一匹配,productCode + foreachModel,1,839060,Q2002-PNX-LPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[77],839013,Q2002-PNX-SACN,2,PMC2202 | 20AC-PB2-02,唯一匹配,productCode + foreachModel,1,839013,Q2002-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[78],839057,Q2002-PNX-SPPE,2,PMC220212 | 20PP-PE2-02MALD,唯一匹配,productCode + foreachModel,1,839057,Q2002-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[79],839031,Q2002-SMV-SACN,2,PMCD1602 | 20ACV-SB3-02,唯一匹配,productCode + foreachModel,1,839031,Q2002-SMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[80],839075,Q2002-SMV-SPPE,2,PMCD160212 | 20PPV-SE3-02MALD,唯一匹配,productCode + foreachModel,1,839075,Q2002-SMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[81],839009,Q2002-SMX-SACN,2,PMC1602 | 20AC-S3-02,唯一匹配,productCode + foreachModel,1,839009,Q2002-SMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[82],839053,Q2002-SMX-SPPE,2,PMC160212 | 20PP-S3-02MALD,唯一匹配,productCode + foreachModel,1,839053,Q2002-SMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[83],839027,Q2002-SNV-LACN,1,20ACV-SB4-02,唯一匹配,productCode + foreachModel,1,839027,Q2002-SNV-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[84],839024,Q2002-SNV-SACN,2,PMCD1702 | 20ACV-SB2-02,唯一匹配,productCode + foreachModel,1,839024,Q2002-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[85],839068,Q2002-SNV-SPPE,2,PMCD170212 | 20PPV-SE2-02MALD,唯一匹配,productCode + foreachModel,1,839068,Q2002-SNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[86],839005,Q2002-SNX-LACN,1,20AC-S4-02,唯一匹配,productCode + foreachModel,1,839005,Q2002-SNX-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[87],839002,Q2002-SNX-SACN,2,PMC1702 | 20AC-S2-02,唯一匹配,productCode + foreachModel,1,839002,Q2002-SNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[88],839046,Q2002-SNX-SPPE,2,PMC170212 | 20PP-S2-02MALD,唯一匹配,productCode + foreachModel,1,839046,Q2002-SNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[89],839043,Q2003-PMV-SACN,2,PMCD4203 | 20ACV-PB3-03,唯一匹配,productCode + foreachModel,1,839043,Q2003-PMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[90],839087,Q2003-PMV-SPPE,1,PMCD420312,唯一匹配,productCode + foreachModel,1,839087,Q2003-PMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[91],839021,Q2003-PMX-SACN,2,PMC4203 | 20AC-PB3-03,唯一匹配,productCode + foreachModel,1,839021,Q2003-PMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[92],839065,Q2003-PMX-SPPE,2,PMC420312 | 20PP-PE3-03MALD,唯一匹配,productCode + foreachModel,1,839065,Q2003-PMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[93],839036,Q2003-PNV-SACN,2,PMCD2203 | 20ACV-PB2-03,唯一匹配,productCode + foreachModel,1,839036,Q2003-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[94],839080,Q2003-PNV-SPPE,2,PMCD220312 | 20PPV-PE2-03MALD,唯一匹配,productCode + foreachModel,1,839080,Q2003-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[95],839014,Q2003-PNX-SACN,2,PMC2203 | 20AC-PB2-03,唯一匹配,productCode + foreachModel,1,839014,Q2003-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[96],839058,Q2003-PNX-SPPE,2,PMC220312 | 20PP-PE2-03MALD,唯一匹配,productCode + foreachModel,1,839058,Q2003-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[97],839032,Q2003-SMV-SACN,2,PMCD1603 | 20ACV-SB3-03,唯一匹配,productCode + foreachModel,1,839032,Q2003-SMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[98],839076,Q2003-SMV-SPPE,1,PMCD160312,唯一匹配,productCode + foreachModel,1,839076,Q2003-SMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[99],839010,Q2003-SMX-SACN,2,PMC1603 | 20AC-S3-03,唯一匹配,productCode + foreachModel,1,839010,Q2003-SMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[100],839054,Q2003-SMX-SPPE,1,PMC160312,唯一匹配,productCode + foreachModel,1,839054,Q2003-SMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[101],839025,Q2003-SNV-SACN,2,PMCD1703 | 20ACV-SB2-03,唯一匹配,productCode + foreachModel,1,839025,Q2003-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[102],839069,Q2003-SNV-SPPE,2,PMCD170312 | 20PPV-SE2-03MALD,唯一匹配,productCode + foreachModel,1,839069,Q2003-SNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[103],839003,Q2003-SNX-SACN,2,PMC1703 | 20AC-S2-03,唯一匹配,productCode + foreachModel,1,839003,Q2003-SNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[104],839047,Q2003-SNX-SPPE,2,PMC170312 | 20PP-S2-03MALD,唯一匹配,productCode + foreachModel,1,839047,Q2003-SNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[105],839044,Q2004-PMV-SACN,2,PMCD4204 | 20ACV-PB3-04,唯一匹配,productCode + foreachModel,1,839044,Q2004-PMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[106],839088,Q2004-PMV-SPPE,1,PMCD420412,唯一匹配,productCode + foreachModel,1,839088,Q2004-PMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[107],839022,Q2004-PMX-SACN,2,PMC4204 | 20AC-PB3-04,唯一匹配,productCode + foreachModel,1,839022,Q2004-PMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[108],839066,Q2004-PMX-SPPE,2,PMC420412 | 20PP-PE3-04MALD,唯一匹配,productCode + foreachModel,1,839066,Q2004-PMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[109],839039,Q2004-PNV-LACN,2,PMCD2304 | 20ACV-PB4-04,唯一匹配,productCode + foreachModel,1,839039,Q2004-PNV-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[110],839083,Q2004-PNV-LPPE,2,PMCD230412 | 20PPV-PE4-04MALD,唯一匹配,productCode + foreachModel,1,839083,Q2004-PNV-LPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[111],839037,Q2004-PNV-SACN,2,PMCD2204 | 20ACV-PB2-04,唯一匹配,productCode + foreachModel,1,839037,Q2004-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[112],839081,Q2004-PNV-SPPE,2,PMCD220412 | 20PPV-PE2-04MALD,唯一匹配,productCode + foreachModel,1,839081,Q2004-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[113],839017,Q2004-PNX-LACN,2,PMC2304 | 20AC-PB4-04,唯一匹配,productCode + foreachModel,1,839017,Q2004-PNX-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[114],839061,Q2004-PNX-LPPE,2,PMC230412 | 20PP-PE4-04MALD,唯一匹配,productCode + foreachModel,1,839061,Q2004-PNX-LPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings,,productCode
