"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"46","直通异径倒刺接头","809862","BA-40D-64D-PP-N","ba-40d-64d-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[45]","无需处理"
"47","直通异径倒刺接头","806037","BA-40-64-PP-N","ba-40-64-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[46]","无需处理"
"48","直通异径倒刺接头","806148","BA-32-95-PP-N","ba-32-95-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[47]","无需处理"
"49","直通异径倒刺接头","806276","BA-48-95-PP-N","ba-48-95-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[48]","无需处理"
"50","直通异径倒刺接头","806036","BA-24-40-PP-N","ba-24-40-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[49]","无需处理"
"51","直通异径倒刺接头","806033","BA-32-64-PP-N","ba-32-64-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[50]","无需处理"
"52","直通等径倒刺接头","806201","BA-127-PP-N","ba-127-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[51]","无需处理"
"53","直通异径倒刺接头","806256","BA-95-127-PP-N","ba-95-127-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[52]","无需处理"
"54","直通异径倒刺接头","806272","BA-40-79-AC-W","ba-40-79-ac-w","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[53]","无需处理"
"55","直通异径倒刺接头","806147","BA-32-48-PP-N","ba-32-48-pp-n","fittings","正常","mainImage","/images/logo/foreach-logo-color.svg","F:\WebsiteProjects\foreach-website-2026\public\images\logo\foreach-logo-color.svg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[54]","无需处理"
"56","L型等径倒刺接头","809345","BL-16F-PA-W","bl-16f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-16f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[55]","无需处理"
"57","L型等径倒刺接头","809346","BL-24F-PA-W","bl-24f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[56]","无需处理"
"58","L型等径倒刺接头","809347","BL-32F-PA-W","bl-32f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-32f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[57]","无需处理"
"59","L型等径倒刺接头","809348","BL-40F-PA-W","bl-40f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-40f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-40f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[58]","无需处理"
"60","L型等径倒刺接头","809349","BL-64F-PA-W","bl-64f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-64f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-64f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[59]","无需处理"
"61","L型等径倒刺接头","809350","BL-95D-PA-W","bl-95d-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-95d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-95d-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[60]","无需处理"
"62","L型等径倒刺接头","809357","BL-16F-PP-N","bl-16f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-16f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-16f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[61]","无需处理"
"63","L型等径倒刺接头","809358","BL-24F-PP-N","bl-24f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-24f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[62]","无需处理"
"64","L型等径倒刺接头","809359","BL-32F-PP-N","bl-32f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-32f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[63]","无需处理"
"65","L型等径倒刺接头","809360","BL-40F-PP-N","bl-40f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/bl-40f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\bl-40f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[64]","无需处理"
